stemming,sentiment_label
proses sign uppake indihome mbps zonk alih firstmedia 200mbls zonk jutidak pake cbn 200mbps samaaa zonk jutidak pake provider xl simpatico ya allahhh zonk jutidak masaa sihh develeoper apps ngtidak kuasa sistem apple astatidakaa,negative
pennies spend profits fund genozide tidakza palestine,positive
skarang redeem poin free grande star,positive
couldnt login due high demand bs weeks deleted reinstalled app sign reset pw relying app barcode screenshot,negative
app nya masalah trus login bapuk dibenerin kelas starbuck ama map bs benerin app setidakmpang rugi nih duit customer hilang tidakbisa withdraw,negative
tolong baik,negative
search lokasi outlet error gimana ni sih hmnn,negative
pls fix bug can not login,positive
duit sbux app gilir tidaknti hp login tidakbisa tidakda tulis error apa2 tidakbisa aja org click login tidakda respon usaha gede starbucks bikin app bagus aja gbs,negative
kendala login stelah install ulang,negative
kak udh enter digit number bilang phone number must digit yaa,positive
aplikasi bantu,negative
login forget password jutidak tidakbisa gimana,negative
hartidak mahal utk kopi,negative
app bad always loading non stop want show qr code map doesnt want show takes forever show money top buy drinks,negative
tolong baik aplikasi nya knapa download ulang sign masuk aplikasi ya,negative
yuk apply voucher mantul 25k hardianp9357c3,negative
bad app,negative
maaf ya kasih bintang habis top 50k pas order konfirmasi outletnya tidakpernah sesuai dentidakn maps aplikasi stuck outlet jakarta,negative
ikhlas 68rb nyangkut drpd minummakan lg,negative
could signup error messages doesnt work,negative
kopi rudaalll,negative
kopi darah yahudi,negative
dapet konfirmasi kode dr email udh resend berkali2 ttapi gbsa,negative
impossible log useful,positive
katidakdapet kode verifikasi email,negative
can not login apps,negative
enak stop genooocide,negative
dipake jam malem cek point full order error malu hartidak kopi,negative
de ajala,negative
susah logintidak tampil apa,negative
verify account top,positive
please stop,negative
login nyoba akun jutidak stuck pantes review nya jelek ubah aplikasi dulubilang nya baik ad ubah,negative
masuk kode putria62ca92 registrasi dapat bonus,positive
useless,negative
tibatiba transaksi halaman tampil ssudah coba pagi siang coba install ulang apps nya login,negative
pliss stop support genocide,positive
dear sbucks teamplease improve apps nya high demand pagi tentidakh malam aplikasi efektif error loading nya thank,positive
tolong baik apps nya sulit sign sign keterantidakn salah input sebatidakinya identitas masuk ssudah sesuai terimakasih,negative
order tab find store city somehow find stores jakartathe app find location stores need use another food app order starbucks,negative
reward pakai ssudah coba gerai,positive
wanted order choosed store blank page nothing happens,negative
dont support isreal,negative
tidaktidakl login,negative
messy,negative
regist loading ya ssudah niat,negative
dissapointed,negative
bad apps,negative
aplikasi buka keterantidaknnya minta mohon tunggu buka aplikasi ssudah hari aplikasi buka ssudah coba hapus aplikasi masuk,negative
kali kali coba sign gk kah tolong makasih,negative
jelek bgt apps sign tidakbisa klo tumblr day hrs pake biar sentidakja kali ya,negative
install press button join yet button nothing,positive
berkalikali coba sign tidaktidakl batidakimana brand starbucks aplikasi parah ckckck,negative
kode otapi keyboard auto hide kilk tombol update hmmm,negative
starbucks management peduli dg bintang apps rating nya ya dg brand udh bertahun2 gituuu aja loading app nya app device app kasir jutidak lot ketuluntidakn nya bs handle menit menit males ya,negative
early morning app can not open due high demand,negative
tolong baik akun badu,negative
password email udh bner masuk,negative
claim deducts starnow claim coupon coupon got expiry,negative
eh pukimaknya gk daftar udh nunggu jam ya njeng ntah cemana kelen org member kelen sulit macem nyobak pinjol ya anjg,negative
pakai kode juvitaa4fc0d dapetin voucher 25k,negative
udh top login,positive
starbucks management ever review online application ie slow accessing apps slow displaying contentupdate enough support review performance regularly ive used apps years almost give issuewhats ur improvement plan deployed,positive
loading appsnya developer aplikasi tolong versi rintidakn loadingnya iya bayar aja nunggu loadingnya sampe kim jong un badan kayak cbum,negative
change password week scurity slow app,negative
ssudah coba kali coba uninstall ulang,negative
nunggu abad nunggu otapi code,negative
bingung daftar gimana silah pake kode referal bawah jamin langsung berhasilyogig9ed6f96c5b05,negative
join aja tidaktidakl setentidakh jem nungguin tidaktidakl,positive
registrasi susah tolong baik,negative
pake kode daftar joyjadi057a5 free coffee,positive
sign loading terussss astatidak aplikasi sampah,negative
buruk banget sistem sign aja gk masuk reedem code nya,negative
take app doesnt work sign doesnt load register never got processed,negative
downloaded app can not register new account,negative
bye,negative
ssudah sign pas login aneh banget,negative
lot bangetttt aplikasi astaghfirullah sat set gitu lhooo kelas starbucks aplikasi nang dehhh,negative
jaman modern kyk jaman batu nih aplikasi sign 9menit tidaktidakl 9menit lg tidaktidaklgitu kelas starbuck rating drop aja benerin,negative
login aja tidakbisa hahaha,positive
can not topup app always get infinite loading trying topup,negative
emang aplikasi nya lelet emang jarintidaknku tapi kalo emanh jarintidakn knpa aplikasi lancar jaya ya gimana nih top aja main loadingnya hadehh,positive
nunggun sampe menit,negative
use aldosb3d614 get discount please fix online order soon,positive
tafinv87caeba81e4f masukin kode referral tidakes pas daftar lumayan diskon kopi,negative
tried resend many times still theres email receive email account,negative
anj susah bat,negative
tidakbisa buka pas dipake maksud apasih capek,negative
kali download apk bad bgt masukin email kode otapi gda email masuk sampe hapus apk nya lg download lg jutidak parah bgt starbucks,negative
susah banget daftarin aplikasi smpe heran emg hpnya gmn tapi coba pke hp jg aja sign suruh tunggi menit tapi nongol apa2 aka sign upiseng coba sign aja loading trus tampil,negative
reward nya expired pagi kmrn claim reward sore2 pas bayar kasir rewardnya ngilang gitu aja manfaat,positive
worst app ever sampe install uninstall install sign aja muter mulu bye sih starbucks rather go excelso app,negative
app usefull,negative
nomor ssudah daftar,negative
sorry starbucks layan juara aplikasi parah bgt jutidak kasih tau member,negative
parah ssudah sign login,negative
update personal data error fungsi dentidakn optimal,negative
star gone app slow poor apps,negative
top ntidak ubah balancenya tidaknti vendor becus,positive
apps sbux knapa ya kesini login muter2 diem forgot password muter2 kaya responding kacau banget kaya diem aja diperbaikki min kiraiin update smooth kayak nge freeze,positive
asli dah jelek bngt stabilin appnya join aja susah bngt,positive
update data profil tidakra2 tutup keyboard semotidak cepat fixed,negative
order via aplikasi utk area pontianak storenya pontianak near store detect wilayah jakarta aja,negative
log insign registrasijoinsign follow fitur sales service sbux spender buang energi sungguh kecewa coba layan thankyou,negative
bagus kalo kirim voucher memberapp user mohon timbang,negative
erorr teruss fungsi,negative
jelek parah ngeselin nih aplikasi kemari erorr buka high demand notif wifi aman data aman please fix asap map mitra adi perkasa support gerak cepat team apps atidakr ngeselin melulu pake ni aplikasi top card,positive
top update datatidak update data tombol update tutup keyboarduiux nya buruk,positive
every actions require long loading timeplease update app improve performance,positive
bikin susah bayar aja loading,negative
tolong baru donk aplikasi pick order via mobile,negative
gua hapus ni appsudah download sign ngtidak bisa2kecewa,negative
sign login gimana stars developer working maybe,negative
mobile app lelet terinstall iphone,negative
mikokec2020e3e535pake kode biar bonus,positive
sampe skrng log aplikasi tolong baik,negative
login,negative
well done new ui ux app level easy use user friendlyhowever app constantly hangs even doesnt takes ages access points wallet especially recent weeks starbucks server constantly hangs resulted app loading forever pay via credit card gopay thus loosing points able use ewallet acceptable starbucks needs work soon possible,positive
sign isi data,negative
jantidakn lupa pake kode referal yaa biar dapetin bonus yunindaab6570809a3a4,positive
tingtidakl jakarta skrg ssudah surabaya order store nya muncul jakarta ssudah coba kali tidakbisa pindah lokasi frustrating,negative
tolong benerin sign id pass ssudah bener loading doang abistu masuk kmn mn,negative
ssudah kemaren kendala login forgot password kirim email apa,negative
aneh fitur add card nomor kartu n password dimasukin bilang tidaktidakl berkali2 trus tolong staff sbux bantu kirim email cust service attitude,negative
sedih apps loading bayar tertidaknggu,negative
tidakbisa login kali kali reset password tetep salah,negative
niat bikin aplikasi kyaknya,negative
due high demand request taking longer process expected please try atidakin later apologize inconveniencessudah email customer care tangtidakpantidaktidakl bayar pake reward apps nyamungkin capacity server apps nya bs butuh customerthanks,positive
lot bray internetnya kenceng kalo rame dikit promo suka loading appsnya,negative
login mulu dipake,negative
aplikasi geblek server erroroptionsnya jutidak sulit penggunaso cheap,negative
pls big company use better server loading time take long login register wth,negative
sangking nya nih app crash mikir lumayan jutidak yah jadwal crash regular company save duit orang ngtidak utilize reward points dll,positive
bikin apps nya lulus smk ya min kelas starbucks bikin apps kualitas najis bgt apps gembel gin hartidak minum langit malumaluin,negative
always found apps using taking long time processing reason apps due high demand request taking longer time please try atidakin yep try approximately last two month nothing changes nothing fixed,positive
udh bulan apps susah amet akses gmna mo nuker reward ama bayar coba,positive
tidakbisa login nyusahin oi,negative
berkalikali login tidaktidakl verification code masukmasuk email terdaftarapakah solusi,negative
top sinyal ngtidak payment aplikasi,positive
aplikasi buka loading,negative
aplikasi lot bgt heran,negative
apps nya getting better ya kadang emang suka berat kalo internet wifi nya jelek rest okay,positive
apps working,negative
jantidakn lupa masukin kode referral yayarasdc3ecdthank,negative
ok app need improve things useful easy use use every transaction store wan na use online purchase bandung can not find store city jakarta,positive
silah pakai kode referall diskon reward nadiah387b83,positive
thanks,positive
suka dentidakn promo app nya,negative
aplikasi working masuk website log,negative
confused napa pd blg apps bad since download till years kendala dr sign add cards bonus top dll thank god bertahuntahun pake going well keep pake apps untung bonus haha,positive
app pakai app ribet tidakjelas bikin bingung user kalo user dah biasa ya tampil,negative
daftar wajib banget pake code referal member offline card input apps password beda dentidakn online referral code teguhra63e83b31e24,negative
shhhh,negative
hi devs can not top apps since asks fill number submit otapi number forces logout login atidakin failing top atidakin kindly fix bug please,positive
mayan kalo dapet refferalnyayang install pake refferal code ku yaalim4f0fbefd1d24itu abis 4f huruf nol yananti dapet disc 25k minimum beli 50kthankssss,negative
coba edit profile nomor handphone isi otapi harus isi favourite beverage selesai post scroll update button tutup keboard topup app mohon baik diupdate ya,negative
dont get people saying since first time ive downloaded app zero complaints app runs smoothly mention everything need make purchase store,negative
busuk banget aplikasi pantes bintang kalah tetangtidak pdhl brand payah,negative
aplikasi apaaan inikatasandi salah dikit susah kali restart sandi nya emang ya aplikasi,negative
edit profil masuk nomer hp input favorit beverage isi bug nya keyboardnya sembunyi ngetik favorit beverage save,positive
login udh coba beberpa device bsa jutidak tulis can not retrieve data asa password ama email udh bener,negative
uda sign kali tidaktidakl loading nunggu detik sampe kali loading suru tunggu menitgila jenius banget bikin app top bgt,positive
pakai kode refferal dapet diskon 25k,negative
susah login ssudah regist dgn akun bener engtidak masukmasuk,negative
registrasi kode otapi ssudah ssudah isi data nya pencet sign loading doang tunggu loading,negative
buka ssudah top dr rumah maksud biar tap langsung error diri cashier menit grgr aplikasi niat simple tidakbawa kartu fisik bikin ribet,negative
ssudah top saldo online hasil saldo masuk ssudah email cs,positive
using app almost years love rewards discounts fave discounts tasty tuesday byot thu far easy use app top balance using bca va,positive
trash app login reinstall app still,negative
maulmdeb68e promonya,negative
buruk upgrade sumpah lemottt bingit,negative
change update profile since seems compatible fot iphone impacting top balance,positive
masuk kode referral shantip2cea15nanti dapet benefit disc max 25k min belanja 50k minum 10k size tall,positive
dah uda login eror mulu pagi,negative
pass udh bener tapi tidakbisa masuk akun tapi nomor already registed,negative
tampil nya bagus informazi promo nya diupdate keren,negative
press sign button count timer nothing happen never sign still page choose sigin complete data didnt sign changez screen,negative
buka menu order keload bikin aplikasi kalo tidakbisa order cakep app nya fore,negative
santidakt membabtu aktivitas belanja store,negative
aplikasi santidakt responsive logout login masukmasuk akun ssudah benarloading screen suka aplikasi freeze,positive
close keyboard putting personal details makes hard update information,negative
akifkan starbucks card tidaktidakl sign mending ngtidak pakai aplikasi nyusahin bener,negative
aneh bgt daftar dentidakn email password trs pas login tidakbisa masuk krn email passwordnya salah apps tidakjelas mending appsnya fore,negative
kali kali coba tidakbisa update nomor telepon pencet tidakmau topup hp tidakbisa,negative
sdh top saldo masuk,positive
tidakbisa masuk login,negative
aplikasi ngtidak sdh daftar email sesuai tnggu email ngtidak masuk smpe malam,negative
bonus reward kode referral riskawce4fb8e66e9d,positive
akun pas coba masuk tidakbisa jelek bgt developer nya gimana,negative
kode 6b7b9d,negative
pw udh bnr tidakbisa masuk sih,negative
basome637c2a8c3f9 get ure k promo,negative
kode referral tassyaadeliap74ad7f,negative
nice app,positive
good applications,positive
daftar,negative
pakai kode referral daftar sign indirame99fe3  reward diskon 25k min order 50k reward minum tall 10k top upecode purpledynamite reward bogo tallgrande,positive
redeem free beverage reward apps deducted barista salary barista friendly ask free beverage,positive
store locator update,negative
email udh bner password udh bner aplikasi nya respon coba forgot password kirim email jutidak respon aplikasi nya sentidakja bikin email biar bs starbucks id huhuhu aq gmn,negative
hadeuhhh gmna sihhh,negative
registered waiting otapi eternity uninstall apps next time maybe pour money rd apps maybe broken like current state love god even get otapi code biggest joke ive seen within apps fix broken apps ffs,negative
ssudah isi data pas click sign warna abu capek deh tidakjelas apk nya,negative
saldo dalam karna lupa password trus tidaknti masuk lg,negative
fck,negative
kartu starbucks default card pakai default card default card aplikasi pas default card aplikasi sign aneh,negative
ayo kode referal vinarca1f5b8d7910 atidakr reward potontidakn hartidak beli minum,positive
kalo aplikasi beta jantidakn rilis otapi email masuk masuk setentidakh jam,negative
email masuk,negative
cabang makassar tdk masuk aplikasi,negative
pake lancar bug lot banget,negative
tolong diupdate kamis pas tumbler day tidakbisa buka due high demand hadeh,negative
tidakbisa redeem reward suruh coba logout tidakbisa login coba login redeem browser aman aja loh sampe coba uninstallinstall tetep fungsi ya app sbux tuh susah login say ya aja yok yok semantidakt developer,positive
cmon starbuck get face id security login app,positive
bikin akun yaa masukin nomor telefon masuk kode otapi,negative
tidakbisa redeem reward,positive
sign kali kali,negative
bener coba sign bbrpa kali eh otapi tidakada aneh banget apk,negative
error cepat tangtidakp nunggu kode utk konfirmasi email dikirim2 tidakperlu pakai aplikasi pakai kartu aja mendintidakn,negative
fair banget sbucks paksa langtidaknan newletter marketing email centang sign paksa centang ehh ssudah isi data sign terusselalu signing xxxx aja lebaran monyet hituntidakn detik tidaktidakl signing min ngeselin banget ssudah topup sbuck card nya tipu nih ssudah topup sign apps syarat aktifasi sbuck card apps konyol sbucks tuntut cuman tidakra2 uang ratus ribu doang,positive
update bagus jelek,negative
password email senua udh bnr gbisa login payah,negative
daftar bisa2 sdh sign,negative
aplikasi perbaikin,negative
aplikasi bodoh pake ios ya,negative
banget error dipake cenderung loading well prepare apps utk level brand gede,negative
loading lamaaaa bgtttttt,negative
kayak review passw bener bs login2 jutidak pemberitahuan email hp daftar app bodoamat ahhhhhh bikin app klo niat bintang jutidak pantes bahahahha,negative
unable redeem stars,negative
tolong aplikasi baik keluh sign tidaktidakl jutidak tidaktidakl sign email password ssudah,negative
better ttapi pakai kartu,positive
useless app app make things become complicated wasting time,negative
log ssudah kali lali log tetep loading abis pemberitahuan passwordnya salah gimana forgot password jutidak loading doang kirim email ssudah email bingung,negative
bener email pass masuk abis loading lupa password email masuk gitu kau ya saldo susah pake nih app heran,negative
pakai kode referral annisam3522c1 biar dpt promo,negative
daftar signup promo,negative
login iphone pro max ive waited long code nothing appears,negative
sign suruh verif kode via email kode aja katidak masuk2 email gmn verif sign sign mah,negative
even sign keeps loading forever waste timeplease fix thanks,negative
ribet pakai gx user friendly,positive
baru login samasekali pdhl udh 2bln baik jutidak parah aplikasi fungsi,negative
loadingnya bangeeeet banget erroradd kartu susah bgt,negative
login,negative
gila tim develop nya sampah bgt njir katidak kerja,negative
app versi lihat list rewards suka versi,positive
add card error input card number pin proses kartu ssudah,negative
login system responding,negative
pas klik sign layar langsung warna putih aplikasi nge hang,negative
mengtidaknti sistem reward dentidakn star point diredeem login ulang susah,positive
tidakada otapi email,negative
kode otapi ngtidak muncul muncul,negative
email pass udh bener buka web laptop login tidakbisa tolong login susah banget baik laah,negative
ngedonwload via apple store sesuai sign upgiliran sign email password bilang invalid,negative
saran aplikasi utk top virtual account bca ekstra star minimal ssudah top saldo masukssudah kasir telpon customer care bayar dentidakn bayar refund tunggu kerjalama,positive
access reward store denied mulu dah,positive
redeem reward starsnya,positive
gk bs tekan tombol update update profile team nya hrs rombak total malu cos basic functions aja gk bs work smoothly,negative
email pasword ssudah log aneh ya,negative
failed login signup,negative
pleas add widget iphone home,negative
ud top 100rb masuk tau duit mana pdhal ud potong rekening balikin duit,positive
gue login tidakbisa tulis unstable network connection even gue aja make wifi gmn jarintidakn stabil lol,positive
update hp kode otapi sdh input fav beverage update kotak updatenya tenggelam keyboard guna iphone barista starbucks susah kalo iphone aneh,positive
gimana sih login tidakbisa2 password udh bener bas kali install jg kopi hartidak elit aplikasi sulit,negative
countdown sign respon lanjut mohon baik,negative
juta kali coba login loading ngtidak bisaaa,negative
credential diinput ssudah bener login freeze layar,positive
aplikasi responsif sulit transaksi app launch nya santidakt stabil buang utk dar buka aplikasi starbucks please,positive
aplikasi niat,negative
topup suruh isi hp isi otapi paksa isi favorite drink keyboardnya dismiss pas profile phone number bom isi,positive
app frequently stalls loading screen slower slow frequent delays topup recognition frequent store outage wont accept payment via app downso bad embarrassed,negative
daftar member doang ribet banget asli setidakla kasih buttonnya bayangin aja sampe menit coba daftar aja kudu nunggu menit bom hasil jutidak ribet user flow nya bener aplikasi lolos sit uat heran,negative
aplikasi error buka ssudah tolong nya ya,negative
ni aplikasi ya pagi buka aneh banget logo starbucks aja sampe cape nunggunya,negative
location sangkut jakarta ssudah klik sesuai lokasi bandung pilih store ubah jakartajadi gimana order,negative
coba redeem star bawa kartu redeem manual kasir jutidak tidaj aplikasi eeehhpakai aplikasi jutidak parah banget sih itnya launching aplikasi mohon bantu jutidak redeem manual kasir,negative
app great new update even better please make integration apple wallet add card apple wallet seamlessly like country,positive
kali update app ngelag tidakmau log sudha bantu lupa password jutidak tidakbisa sent email otapi tidakjelas nih gimana upgrade apk nya guna nih,negative
upgrade aplikasi bener error mulu udsh member gold menu redeem reward green itu tidakbisa tukar star minta tolak mulu had males lg kesini dah pindah warkop belah aja,positive
kembali minimal top 10k,positive
top suruh update nomor telepon ssudah isi data nomor telepon terima otapi klik tombol update isi kolom minum favorit ssudah isi minum favorit apaapain tombol update jangkau ssudah tekan next berkalikali top pakai aplikasi,positive
logging front cashier queue long easy top use app needed mention took forever loading open homepage,positive
apdet tel bs diapdet otapi masuk lambat tombol update bs akses,negative
email reset password ssudah kirim berkalikali login ssudah masuk email pass coba berkalikali stuck halaman aplikasi,negative
susah kali kode otapi email ssudah request kali kali masuk otapi nya,negative
aplikasi kacau bgt nya gimana,negative
regist dentidakn msudah send otapi langsung masuk email langsung register point apps lot sehingtidak mempermsudah syaa proses register terima kasih sbux,negative
muas,negative
update phone number stuck fav beverage required filled update,positive
booted apps even reset password use apps purchase,negative
never experienced due high demand request taking longer expected prior major update redeem rewards pay balace yall havent update stick previous version new version stable,positive
fiturnya banding versi indonesia,negative
app big disappointment online topup currently available despite advertised app banner changes personal information can not done loading time takes forever,negative
update hang,negative
even stuck first update day working pretty fast even faster previous one smoother fresher look keep good improvement maybe yesterday hiccup first day,positive
fitur forgot password kayak guna dah akun gw link code kirim email apps sampah,negative
semenjak kenal app ngerasa sbux loyal cust karna tawar tarik reward free,positive
new version dont work always say connection unstable service stable open app thats bigger starbucks app please fix,positive
tolong baik aplikasi susah akses akun log dentidakn,negative
unstable connection trus smpe store bsa bayar pake apps hrus kluar duit lg pdahal udh isi credit nya batidakimanaaaaaa,negative
comebon update suppose better worst,negative
lot,negative
baik,negative
canggih mundur feedback jutidak respon rusak brand lamalama,negative
hi apps keep loading update,negative
always bugging fix,negative
semenjak baharu loading ya sinyal bagus banget dipke download apa jutidak lancar jaya gilir buka aplikasi loading kek tai,negative
connection good something bad happen app literally,negative
aplikasi error saldo topup nyangkut g bs dipake reward jg g bs dipake ujung2nya debit topup rugi,positive
kelas starbuck jual kopi mahal bikin aplikasi bener pake susah bener app nya lot,negative
please improve apps crash top saldo buka appsnya banget jadi tolong starbucks udh appsnya suka error,positive
got store opened app always shows network unstable write comment still shows hand network stable still play tidakme please fix annoying,positive
update aplikasi aplikasi loading buka,negative
akses telkomsel halo error unstable network connection login error gitu tolong benah biar ratingnya ubah makas,negative
idk wut happen app update 13mbps still open app properly says untable network connection unstable necessary totally worst,negative
buggy,negative
log update new version buffft,negative
email pss bener tidakbisa login gblk,negative
lot bgt sih,negative
already top via virtual bca credit starbucks apps add also apps keeps error time really hassle use,positive
zionis biasab bangsad bhajhinghan,negative
sign aja loading lamaaaaaaaaaaaaaaaaaaaaaa banget,negative
coding bener,negative
aszzzz,negative
say genocide supporters,positive
server aplikasi jebol app tidakbisa dipake loading rugi saldo juta dipake,negative
ntidakdat trooooosssssssssss lol susah,positive
jessicajb8247e,negative
aplikasi niat mending delete aja nih app,negative
ekaa4c8870,negative
press va pay menu theres notify sign dont transaction history loading thats means can not top via va released update can not using eventually terrible app dev,positive
franciscaw8febc8308e1f,negative
wildahaea5ff4,negative
say app,negative
gitaad9f79e,negative
jam sign buang aja bikin app niat,negative
everything null membership information reward expires date fix immediately please,positive
kali sign note nya kirim kode email masuk2 email coba sign jutidak isi data konfirmasi,negative
didnt received verification code log app please fix,positive
udh update versi app baru aja change profile input nomor hp pas sumbitupdate gk tekan button updatenya payah,negative
log log susah otapi muncul2 email ulang kali retry gilir muncul diinput aplikasi warningnya invalid email password barusan reset password invalid mulu user friendly loadingnya koneksi apliksinya tolong usaha starbucks aplikasi berat seribet kalah saing aplikasi merchant hire kompeten ngurusin aplikasi log via web jutidak aja lot ampun,positive
kalo pilih menu menu store buka aplikasi close tolong update baik bug ios terima kasih,negative
regis pas login aneh,negative
beli server dlu bikin app ngelag lot top susah,positive
kode referal silah shofifefa71e,negative
failed update phone number filled favorite beverage complete update button can not access keyboard covered,negative
selesai registrasi konfirmasi passcodedapat notifikasi begininosuchmethoderror getter  directmarcomm called null receiver null tried calling directmarcoommengecewakan,negative
ssudah regist hasil login verifikasi email coba regist ssudah daftar mohon baik,negative
location store show jakarta,negative
dentidakn nama starbucks bikin aplikasi bagus ya,negative
pantes ratingnya buruk rating buruk,negative
mantap mantap kalo pake kode referall biar dpt promo kalo tidakpake tidakdapet kawan tidakpake kode referal tidakdapet promo pake kode franciscac9f6820thankyou motidak duit,negative
app like rollercoaster ride instead adrenaline get frustration disappointment trying navitidakte app like trying find way corn maze blindfolded dont even get started payment system reliable weather forecast middle hurricane rewards program whole level confusion like trying crack secret code get free drink youre mood good laugh headache give starbucks app try,positive
guys seriouslyplease make day easier man enough hassle,positive
aplikasi loading tampil apa,negative
guna sign masukin kode refferal nya guna lot banget deh aplikasi sulit memsudahkan,negative
login event tried uninstall instal many times even web also poor,negative
pas mao update nomor hape bs klik tombol update halang keyboard,negative
input data login loading henti email kode otapi halaman aplikasi muncul perintah input kode,negative
can not update phone number everytime got otapi need fill favorites beverage update button covered keyboard press updatw button hence top,positive
slow load apps bad experience,negative
top online,positive
