review_description,translated_text,sentiment
"This app just like a beginner who starting learn how to make a mobile app. The UI/UX is far from great nor good. It force closed so often. Also the backend is bad enough, slow connection and got an error several times. Your app is your face. Please make a propper app with great UI/UX and blazingly fast response also responsive. Regards, Mobile Dev","Aplikasi ini seperti pemula yang mulai belajar membuat aplikasi mobile. UI/UX jauh dari besar atau baik. Ini memaksa ditutup begitu sering. Backend juga cukup buruk, koneksi lambat dan mendapat kesalahan beberapa kali. Aplikasimu adalah wajahmu. Tolong buat aplikasi propper dengan UI/UX besar dan respon cepat juga responsif. Salam, Mobile Dev",negative
"Absolutely garbage. The only people giving it 5 stars are probably from the development team. The only screen you're ever going to see when trying to use this app is the one that reads ""Due to high demand your request is taking longer to process than expected. Please try again later. We apologize for the inconvenience."" For a month this has been what I see whenever I try to use the app. Doesn't matter where I am or what time of day. What is the point in having a membership you can never use?","Benar-benar sampah. Satu-satunya orang memberinya 5 bintang mungkin dari tim pengembangan. Satu-satunya layar yang akan Anda lihat ketika mencoba menggunakan aplikasi ini adalah salah satu yang berbunyi ""Karena permintaan Anda yang tinggi membutuhkan waktu lebih lama untuk memprosesnya dari yang diharapkan. Silakan coba lagi nanti. Kami mohon maaf atas ketidaknyamanan ini. "" Selama satu bulan ini telah apa yang saya lihat setiap kali saya mencoba untuk menggunakan aplikasi. Tidak peduli di mana aku berada atau apa waktu hari. Apa gunanya punya keanggotaan yang tak pernah bisa kau gunakan?",negative
"Need many improvements. Oftentimes won't even load homepage. Asked to refresh page, done but still won't load. Was going to only have a look at my rewards, but this app won't let me, the loading takes forever. Not only happens once or twice, but many, many times. Updated the app but still won't load. Have to agree with other users saying this app was made by amateurs, the ratings say so. If this problem keeps existing, then good luck with the ratings. No notifications about expiring rewards.","Perlu banyak perbaikan. Seringkali bahkan tidak akan memuat homepage. Diminta untuk menyegarkan halaman, selesai tapi masih tidak akan memuat. Apakah hanya akan memiliki melihat hadiah saya, tapi aplikasi ini tidak akan membiarkan saya, beban mengambil selamanya. Tidak hanya terjadi sekali atau dua kali, tapi banyak, berkali-kali. Diperbarui aplikasi tapi masih tidak akan memuat. Harus setuju dengan pengguna lain mengatakan aplikasi ini dibuat oleh amatir, peringkat mengatakan demikian. Jika masalah ini terus ada, maka semoga beruntung dengan rating. Tidak ada pemberitahuan tentang imbalan yang akan habis.",negative
"When I open the app it won't even reach the menu. I waited around 15 minutes and it still wouldn't open the menu, just stuck on the loading screen (the green screen with the words Starbucks Rewards on it). At first I thought it's because of my very slow old phone but even with the new phone it still does the same thing.","Ketika saya membuka aplikasi itu bahkan tidak akan mencapai menu. Aku menunggu sekitar 15 menit dan itu masih tidak akan membuka menu, hanya terjebak di layar loading (layar hijau dengan kata-kata Starbucks Rewards di atasnya). Pada awalnya saya pikir itu karena saya sangat lambat telepon lama tapi bahkan dengan ponsel baru itu masih melakukan hal yang sama.",positive
Some concern and suggestions: - fix the load time when opening the app or transition between menu. In my app it still slow loading (using wifi and enough memory in phone) - add button to clear all notifications - 'order' menu and 'store' menu is redundant. Take out one menu and change it to other useful feature,Beberapa kekhawatiran dan saran: - perbaiki waktu beban sewaktu membuka aplikasi atau transisi antara menu. Dalam aplikasi saya masih lambat memuat (memakai wifi dan cukup memori di telepon) - tambahkan tombol untuk membersihkan semua notifikasi - 'order' menu dan'store' berlebihan. Keluarkan satu menu dan ganti ke fitur berguna lainnya,negative
"Persistenly periodically kicks me out and force me to login again. And then blocks me off the app for 30minutes because this is the only app that force me to remember complicated password that I always set differently on different use/apps/accounts etc. And everytime it block me out I have to set different password. All the time. Why don't the dev connect the login with googlle account instead, for customers convenience sake. For once.","Secara berkala terus-menerus menendang saya keluar dan memaksa saya untuk login lagi. Dan kemudian menghalangi saya dari aplikasi selama 30 menit karena ini adalah satu-satunya aplikasi yang memaksa saya untuk mengingat kata sandi rumit yang selalu saya buat berbeda dengan penggunaan/apps/accounts dll. Dan setiap kali itu menghalangi saya keluar Saya harus mengatur password yang berbeda. Sepanjang waktu. Mengapa don apos; t dev menghubungkan login dengan googlle account sebagai gantinya, demi kenyamanan pelanggan. Untuk sekali. buruk",negative
"Guys don't limit passwords to max 12 characters. That's not secure, at all. Also, your signup screen is definitely not tested for bugs enough. You lost new users just for this.","Laki-laki tidak membatasi kata sandi hingga maksimal 12 karakter. Itu tidak aman sama sekali. Juga, layar pendaftaran Anda pasti tidak diuji untuk bug cukup. Anda kehilangan pengguna baru hanya untuk ini.",negative
"Yeaa no, was told to register for rewards. Registered, however despite already using the card for months, they said I can't get any reward because it counted as just newly registered. Not to mention that I can't opt out from spam marketing when registering. Uninstalled.","Yeaa tidak, diberitahu untuk mendaftar untuk hadiah. Terdaftar, namun meskipun sudah menggunakan kartu selama berbulan-bulan, mereka mengatakan saya tidak bisa mendapatkan hadiah apapun karena dihitung hanya baru terdaftar. Belum lagi bahwa saya tidak bisa memilih keluar dari pemasaran spam ketika mendaftar. Uninstalled.",negative
"I thought it was my device but turns out to be the error is from the app. I tried login and everytime i set up my passcode its said null and i already tried login with different device still not working. You guys should contact your developer and tried to fix it before you launched it make sure to do usability testing too, it's getting annoying and im going to uninstall it again.","Saya pikir itu perangkat saya tetapi ternyata menjadi kesalahan adalah dari aplikasi. Aku mencoba login dan setiap kali saya mengatur passcode saya yang mengatakan null dan saya sudah mencoba login dengan perangkat yang berbeda masih tidak bekerja. Kalian harus menghubungi pengembang Anda dan mencoba untuk memperbaikinya sebelum Anda meluncurkannya pastikan untuk melakukan pengujian kegunaan juga, itu semakin menjengkelkan dan aku akan melepaskannya lagi.",negative
"Contrary to what others say, didn't have any issues with password / log in. Bought the card, downloaded the app, registered (picked a password based on rules), linked the card to account and that's it. Took me 2 mins to do all. Used immediately for my first purchase. A minute later my purchase (stars) showed on the app. Next day used in a different store, all good. Works fine for me 👍","Bertentangan dengan apa yang orang lain katakan, tidak memiliki masalah dengan password / log masuk Membeli kartu, mengunduh aplikasi, terdaftar (dipilih kata sandi berdasarkan aturan), menghubungkan kartu ke akun dan hanya itu. Aku butuh 2 menit untuk melakukan semua. Digunakan segera untuk pembelian pertama saya. Semenit kemudian pembelian saya (bintang) ditampilkan di aplikasi. Keesokan harinya digunakan di toko yang berbeda, semua baik. Aku baik-baik saja.",negative
"NEW SKIN!! Love the new reward catalogue and the new method of loading, load what is loaded first, not forcing user to wait all the resources to be loaded. For the apps, so far this is the best loyalty apps I've ever installed, realistic reward point redemption, and lot of programs for members, very worth to install. Since the installation, I dont want to shop without using the apps. Keep improving, I've seen the Pick Up Order on the apps in several stores, next delivery maybe.","Skin baru!! Suka katalog penghargaan baru dan metode baru memuat, memuat apa yang dimuat pertama, tidak memaksa pengguna untuk menunggu semua sumber daya untuk dimuat. Untuk aplikasi, sejauh ini aplikasi kesetiaan terbaik yang pernah saya pasang, penghargaan yang realistis penebusan, dan banyak program untuk anggota, sangat layak dipasang. Sejak pemasangan, saya tidak ingin berbelanja tanpa aplikasi. Terus membaik, saya telah melihat Pick Up Order pada aplikasi di beberapa toko, pengiriman berikutnya mungkin. buruk",negative
"Walked in to SB but walked out without coffee, the apps didnt work. What's the point to upgrade the apps, if it only got worse?? Seriously you're big , but your apps. remind me of tech/internet back in 90's. BASIC PRINCIPLES : FiX YOUR APPS PERFORMANCE FIRST BEFORE ADDING NEW FEATURES!! Dont you know the meaning of your apps rating 2,9?? Isnt that clear??","Berjalan ke SB tapi berjalan keluar tanpa kopi, aplikasi tidak bekerja. Apa gunanya meng-upgrade aplikasi, jika hanya menjadi lebih buruk? Serius kau besar, tapi aplikasimu. mengingatkan saya pada teknologi/internet kembali pada tahun 90-an. Fix your APPS PERFORMANCE first before adding new features!! Apa kau tidak tahu arti aplikasimu rating 2,9? Apakah itu jelas??",negative
"worst app ever. my phone with the wifi or mobile signal already got good connection but it kept saying unstable. i think it will be a miracle if starbucks Indonesia created an app that actually works fast. since the first version till the latest update, it's always slow. please put this on your priority in the next update rather than focusing on visuals and promotions smh","aplikasi terburuk yang pernah ada. telepon saya dengan wifi atau sinyal mobile sudah mendapat koneksi yang baik tapi terus mengatakan tidak stabil. i think itu akan menjadi keajaiban jika starbucks Indonesia menciptakan aplikasi yang benar-benar bekerja cepat. sejak versi pertama sampai berita terbaru, itu selalu lambat. Silakan menempatkan ini pada prioritas Anda dalam update berikutnya daripada berfokus pada visual dan promosi smh",negative
"I don't know why but when my friend wants try to register new member for once time and it's already registered until twice with different email and both didn't working, can't sign in, as it said ""internal server error"" and this is very disappointed us☹️ also why if use with internet kuota can't connect to network, then we must connect with Wifi. Sigh.. so annoying. Please help and fix it.","Saya tidak tahu mengapa tetapi ketika teman saya ingin mencoba untuk mendaftar anggota baru untuk sekali waktu dan itu sudah terdaftar sampai dua kali dengan email yang berbeda dan keduanya tidak bekerja, tidak dapat mendaftar di, seperti yang dikatakan ""internal server error"" dan ini sangat mengecewakan kita juga mengapa jika menggunakan dengan kuota internet tidak dapat terhubung ke jaringan, maka kita harus terhubung dengan Wifi. Sighs.. sangat menjengkelkan. Tolong bantu dan perbaiki.",negative
"Had some difficulties to login. Tried to reset the password, but Starbucks didn't specify kinds of character or symbol which is forbidden for a password. Entered a lot of password and it keep saying ""password must contain at least 9 char and have minimum 3 of (uppercase, lowercase, numeric, special character). Tried to enter uppercase + lowercase + numeric and keep failing. Adding special characters don't work. Entering wrong password more than 5 times = 30 minutes to relogin. Wasting time. Uninstalling.","Ada beberapa kesulitan untuk masuk. Mencoba untuk mereset sandi, tapi Starbucks tidak menyebutkan jenis karakter atau simbol yang dilarang untuk password. Dimasukkan banyak kata sandi dan terus mengatakan ""password harus berisi paling tidak 9 karakter dan memiliki minimal 3 dari (uppercase, huruf kecil, numerik, karakter khusus). Mencoba untuk memasukkan huruf besar + huruf kecil + numerik dan terus gagal. Menambahkan karakter khusus tidak bekerja. Memasuki sandi yang salah lebih dari 5 kali = 30 menit untuk relogin. Buang-buang waktu. Menghapus.",negative
"starbucks! Can you help me? Can i repeat my sign-up process? Because i forget and i don't know the email that i fill is the correct one or not, because there is no notification in my inbox about my registration and now i can't do nothing to solve my problem. My phone number already registeted and the email not correct. When log-in process, there is no option log-in with phone number, because i think that option can make user more easier to take a log-in process when they forgot they email..","starbucks! Dapatkah Anda membantu saya? Dapatkah saya mengulangi proses sign-up saya? Karena saya lupa dan saya tidak tahu email yang saya isi adalah yang benar atau tidak, karena tidak ada pemberitahuan dalam kotak masuk saya tentang pendaftaran saya dan sekarang saya tidak bisa melakukan apa-apa untuk memecahkan masalah saya. Nomor telepon saya sudah registeted dan email tidak benar. Ketika log-in proses, tidak ada pilihan login dengan nomor telepon, karena saya pikir pilihan itu dapat membuat pengguna lebih mudah untuk mengambil proses log-in ketika mereka lupa mereka email..",negative
"Starbucks, is this app really the best you can do? As a multibillion dollar company? I cannot even login into my account. I tapped the sign in for thousand times and I still cannot log in. The email & password is right, the connection is adequate, cache has been cleaned, and the app is updated to the newest version, yet I still cannot login. I am so dissapointed in Starbucks Indonesia.","Starbucks, adalah aplikasi ini benar-benar yang terbaik yang dapat Anda lakukan? Sebagai perusahaan bernilai miliaran dolar? Aku bahkan tidak bisa login ke akun saya. Aku menyadap papannya ribuan kali dan aku masih tak bisa masuk. Sandi surel & benar, koneksi memadai, cache telah dibersihkan, dan aplikasi diperbarui ke versi terbaru, namun saya masih belum bisa login. Saya sangat kecewa di Starbucks Indonesia.",negative
Can't open the app for days now and emails sent to app developer email gets bounced back as undeliverable. Please issue fix quickly as cash credit and vouchers are locked up. Will change rating once fix is out. EDIT: app fixed so I've changed the rating to reflect my opinion when the app works.,Tidak dapat membuka aplikasi selama berhari-hari sekarang dan email yang dikirim ke app developer akan dipantulkan kembali sebagai tidak dapat dikirim. Silakan mengeluarkan memperbaiki cepat sebagai kredit tunai dan voucher dikurung. Akan mengubah peringkat setelah memperbaiki keluar. EDIT: aplikasi tetap jadi saya telah mengubah rating untuk mencerminkan pendapat saya ketika aplikasi bekerja.,negative
Please allow the date of birth to be changed. It's annoying when you input incorrectly and can't correct it. And when sign-up the request password is to annoying. I tried who knows how many combination until it's finally accepted. Please make it easier for the customer.,Tolong ijinkan tanggal lahir diubah. Ini menjengkelkan ketika Anda masukan salah dan tidak bisa memperbaikinya. Dan ketika mendaftar permintaan password adalah mengganggu. Aku mencoba siapa yang tahu berapa banyak kombinasi sampai akhirnya diterima. Tolong buat lebih mudah untuk pelanggan.,negative
"Please fix the issue that your app randomly sign out and we have to login again, and have to verify the OTP that was sent through email. The issues: 1. Even banks app did not create this much hussle and randomly sign out 2. Not everyone have time and access to email instantly, considering reception here is not reliable 3. Imagine if customers are in front of cashier, ready to pay but their app suddenly logged out randomly. You lost your sales Please fix ASAP","Tolong perbaiki masalah yang app anda tanda tangani secara acak dan kami harus login lagi, dan harus memverifikasi OTP yang dikirim melalui email. Masalah: 1. Bahkan aplikasi bank tidak menciptakan husssle sebanyak ini dan secara acak menandatangani 2. Tidak semua orang punya waktu dan akses ke email langsung, mengingat penerimaan di sini tidak dapat diandalkan 3. Bayangkan jika pelanggan di depan kasir, siap membayar tapi aplikasi mereka tiba-tiba log keluar secara acak. Anda kehilangan penjualan Anda Silakan perbaiki ASAP",negative
"The UI is so good and understandable,the app is also not complicated to use,the features shown on the interface are not too many yet they are the most useful ones. Would be good if we could log in without typing the 6-digit code.","UI begitu baik dan dapat dimengerti, aplikasi juga tidak rumit untuk digunakan, fitur yang ditampilkan pada antarmuka tidak terlalu banyak namun mereka adalah yang paling berguna. Akan lebih baik jika kita bisa masuk tanpa mengetik kode 6 digit.",negative
"as a gold member, I am really pissed that the barista in some outlet (in 2 incident) accidentally redeem my rewards + deduct by balance without asking me first using this apps. So I paid double! And I lost my rewards that I've been saving for the last couple of year! With a card, they always ask. Need more training!","sebagai anggota emas, saya benar-benar marah bahwa barista di beberapa outlet (dalam 2 insiden) sengaja menebus hadiah saya + dikurangi oleh keseimbangan tanpa meminta saya terlebih dahulu menggunakan aplikasi ini. Jadi aku membayar dua kali lipat! Dan aku kehilangan hadiah yang telah aku simpan selama beberapa tahun terakhir! Dengan kartu, mereka selalu bertanya. Butuh latihan lagi!",negative
"The worst app out there. Won't open when I need to make payment. Such an embarrassing experience. Nov 3rd 2022, same thing happened again. Login takes so long I eventually paid using my credit card and couldn't use my reward. Lost points from my purchase.","Aplikasi terburuk di luar sana. Tidak akan terbuka ketika saya perlu untuk melakukan pembayaran. Sungguh pengalaman yang memalukan. Nov 3 th 2022, hal yang sama terjadi lagi. Login membutuhkan waktu begitu lama saya akhirnya dibayar menggunakan kartu kredit saya dan tidak bisa menggunakan hadiah saya. Kehilangan poin dari pembelianku.",negative
"Bad quality apps in general. Crashes few times, including on registration page. Suggest to split otp screen. Asking too many mandatory personal data, including Date of birth. The only app I have seen that mandates direct marketing communication. This app needs a revamp","Aplikasi kualitas buruk pada umumnya. Kecelakaan beberapa kali, termasuk di halaman pendaftaran. Sarankan untuk memecah layar otp. Meminta terlalu banyak data pribadi wajib, termasuk Tanggal lahir. Satu-satunya aplikasi yang saya telah melihat bahwa mandat komunikasi pemasaran langsung. Aplikasi ini membutuhkan revamp",negative
"Cannot sign in, changed password for almost ten times with different combinations imaginable, even created two new accounts and still failed to sign in, AND changed password for each of the accounts but STILL cannot log in. Tried the website too and failed. I cannot believe this.","Tidak dapat mendaftar, mengubah kata sandi hampir sepuluh kali dengan kombinasi berbeda yang dapat dibayangkan, bahkan membuat dua akun baru dan masih gagal untuk masuk, dan mengubah sandi untuk setiap akun tapi masih tidak bisa log masuk. Mencoba website juga dan gagal. Aku tidak percaya ini.",negative
"This app signed me out regularly. Every time I was asked to login, they will send an OTP to my email. I checked the OTP in my email and went back to the app, the OTP request button dissapeared and then asked me to login again. So, do I need to open my email from my laptop to login?? This app also asked me to set new passcode every time I login. This app doesn't make you pay easier but give you more TROUBLES. Very troublesome, just to buy a cup of coffee..","Aplikasi ini menandatangani saya keluar secara teratur. Setiap kali saya diminta untuk login, mereka akan mengirim OTP ke email saya. Aku memeriksa OTP di email saya dan kembali ke aplikasi, OTP permintaan tombol dissapears dan kemudian meminta saya untuk login lagi. Jadi, apakah saya perlu membuka email saya dari laptop saya untuk login? Aplikasi ini juga meminta saya untuk mengatur passcode baru setiap kali saya login. Aplikasi ini tidak membuat Anda membayar lebih mudah tetapi memberikan lebih banyak TUBLES. Sangat merepotkan, hanya untuk membeli secangkir kopi..",negative
"I've just join as a member, and i'm already received an email from the register, then i'm trying to login but the pop up notif saying ""invalid email or password"" i don't even understand what wrong, because when i checked the email and password is correct, and i'm trying again about 3 Times, suddenly get the notif ""exceeded number of attempts to login, for security reason, you've been blocked for login, please retry in 30 minutes""","Saya baru saja bergabung sebagai anggota, dan saya sudah menerima email dari kasir, kemudian saya mencoba untuk masuk tapi muncul notif mengatakan ""tidak valid email atau password"" saya bahkan tidak mengerti apa yang salah, karena ketika saya memeriksa email dan password yang benar, dan saya mencoba lagi sekitar 3 Times, tiba-tiba mendapatkan tidak ""banyak upaya untuk masuk, untuk alasan keamanan, Anda telah diblokir untuk login, silakan coba lagi dalam 30 menit""",negative
"I tried many time to sign up. But, always failed. Notification pop up ""Registration Failed"". I also tried to use my other mail address but it's not working at all. I think you should fix this bug. How to use starbucks card if this app can't useful. Hmm.","Aku mencoba banyak waktu untuk mendaftar. Tapi, selalu gagal. Pemberitahuan pop up ""Regitrasi Gagal."" Saya juga mencoba menggunakan alamat surat saya yang lain tapi tidak bekerja sama sekali. Saya pikir Anda harus memperbaiki bug ini. Bagaimana menggunakan kartu Starbucks jika aplikasi ini tidak berguna. Hmm.",negative
"Now I can't open the app because they keep saying ""no connection found"" when I have data and connected to wifi. Already reinstall this but the problem still same. Hope you could fix this. Thank you","Sekarang saya tidak bisa membuka aplikasi karena mereka terus mengatakan ""tidak ada koneksi ditemukan"" ketika saya memiliki data dan terhubung ke wifi. Sudah memasang ulang ini tapi masalahnya masih sama. Kuharap kau bisa memperbaiki ini. Terima kasih",negative
"Newest version broke the app completely. Can't login, when i reset password it failed. One time can login and then hv to make passcode. After entering app said authentication failed. Really frustated with this app. I still have 7 free drinks! Give me what I deserve please..","Versi terbaru melanggar aplikasi sepenuhnya. Tidak dapat login, ketika saya mereset password gagal. Satu kali dapat login dan kemudian hv untuk membuat passcode. Setelah memasuki aplikasi kata otentikasi gagal. Benar-benar penuh dengan aplikasi ini. Aku masih punya 7 minuman gratis! Berikan saya apa yang saya layak silahkan..",positive
"I can't open the app for weeks. It keeps showing ""Can't connect to the network"". Tried uninstall and reinstall, but the same problem still exist. This app needs serious update. Disappointing!","Aku tidak bisa membuka aplikasi selama berminggu-minggu. Ini terus menampilkan ""Tidak dapat terhubung ke jaringan"". Mencoba uninstal dan reinstal, tapi masalah yang sama masih ada. Aplikasi ini membutuhkan pembaruan serius. Mengecewakan!",negative
"The app is getting worse. It has been almost 2 months everytime I tried to order by app, it always shows ""internal server error"" regardless how many times I log out, uninstall and reinstall the app. Guys, seriously, you need to step up. Other local coffee chains' app can do it better than Starbucks app.","Aplikasinya semakin memburuk. Sudah hampir 2 bulan setiap kali saya mencoba memesan dengan aplikasi, itu selalu menunjukkan ""ror server internal"" tidak peduli berapa kali saya log out, uninstall dan memasang ulang aplikasi. Guys, serius, Anda perlu untuk meningkatkan. Aplikasi rantai kopi lokal lainnya bisa lebih baik daripada aplikasi Starbucks. buruk",negative
It's regularly log out by itself and it is so damn hard to relogin in. It says sending OTP to my email but the email takes tooooo long to come and by the time the email arrived the session is expired. Needless to say I CAN NOT LOG IN to my own account,Secara teratur log out dengan sendirinya dan sangat sialan sulit untuk relogin masuk Ia mengatakan mengirim OTP ke email saya tapi email mengambil toooooo lama datang dan pada saat email tiba sesi berakhir. Tak perlu dikatakan aku tak bisa masuk ke rekeningku sendiri.,negative
"Worst app I've ever used. For a company as big as Starbucks, the app is practically awful. Updates that occur continuously but after being updated are always interrupted for a long time. The option given is to carry a physical card, but if we already use the application, why do we still have to carry a physical card? Sadly no option for Starbucks fans.","Aplikasi terburuk yang pernah kugunakan. Untuk sebuah perusahaan sebesar Starbucks, aplikasi praktis mengerikan. Pemutakhiran yang terjadi terus-menerus tetapi setelah diperbarui selalu terputus untuk waktu yang lama. Pilihan yang diberikan adalah untuk membawa kartu fisik, tetapi jika kita sudah menggunakan aplikasi, mengapa kita masih harus membawa kartu fisik? Sayangnya tidak ada pilihan untuk penggemar Starbucks.",negative
"Everytime I opened the app, I must re-login, check the OTP on email and set the PIN numbers numerous times. It becomes problem when you are already at the cashier and there's a line waiting. Using Starbucks card is definitely easier.","Setiap kali saya membuka aplikasi, saya harus kembali login, memeriksa OTP pada email dan mengatur nomor PIN berkali-kali. Ini menjadi masalah ketika Anda sudah di kasir dan ada garis menunggu. Menggunakan kartu Starbucks pasti lebih mudah.",negative
